nome_produto,valor_unitario,estoque
Sit,214.76,866
Adult,152.05,996
Most,268.41,175
Grow,311.52,869
Hot,337.55,228
Whole,401.82,596
Now,147.26,10
Week,13.92,552
Avoid,290.15,251
Economy,141.85,355
Real,165.89,197
Relationship,49.86,833
Drug,366.04,523
Over,8.82,966
Class,138.95,10
Authority,177.06,165
Exactly,93.69,405
Claim,443.79,578
Cover,308.86,177
Case,241.82,464
Author,471.61,743
Admit,146.73,724
Occur,326.88,997
Guy,417.27,791
Question,204.04,596
Drug,328.09,230
Education,426.82,723
Success,5.41,412
Rate,174.22,165
Another,173.43,427
Daughter,233.72,80
Lawyer,374.69,318
Them,261.78,299
Perhaps,355.13,828
Game,73.86,148
Speech,103.83,323
Exist,308.61,525
Test,96.66,409
Child,229.76,258
Face,411.9,777
Can,393.44,394
Exactly,216.6,8
Read,52.76,337
Black,476.09,875
Treat,457.35,574
Space,400.52,870
Theory,232.12,984
Year,496.49,257
Reality,360.04,403
Special,38.19,268
Owner,328.94,407
Consider,287.2,241
Mean,118.95,250
Eight,496.29,652
Former,15.27,851
Voice,389.25,432
Radio,248.21,99
General,356.87,343
Yourself,190.11,399
Quite,260.93,136
Expect,172.57,971
Floor,324.99,683
Charge,263.5,682
Win,103.76,47
Should,167.48,361
What,405.08,644
Meeting,290.65,193
Public,58.66,428
Mean,135.79,227
Maintain,414.63,942
Crime,430.66,601
Especially,82.87,799
Voice,44.11,475
Value,88.26,389
Wall,378.21,214
Item,452.94,529
Letter,476.46,464
Despite,244.69,57
Skill,367.33,132
Home,69.78,209
Decision,155.39,225
Check,311.15,635
Make,121.46,93
Whether,389.77,507
Wrong,32.7,1000
Pm,275.7,890
Among,222.02,986
Reveal,415.6,528
Effect,34.61,635
Tend,322.37,62
Yes,244.98,603
Partner,201.53,927
Process,364.86,77
Audience,136.87,2
Top,317.47,934
Air,331.77,859
Material,391.58,893
Remember,22.28,186
Far,370.33,615
They,158.63,258
Speak,114.05,102
Soon,335.59,865
Nice,108.96,353
Attention,260.37,441
Commercial,211.74,953
Will,231.44,880
Class,448.26,950
Only,209.2,117
It,445.26,10
Cause,434.28,253
Building,38.69,574
Think,65.49,419
Lead,327.6,726
Out,312.15,491
Pay,54.43,202
Energy,166.01,553
Blue,58.64,868
Body,30.87,326
Interview,162.35,652
Scene,403.56,811
Over,91.18,461
Prevent,37.48,816
Machine,85.76,158
Big,344.33,443
Stay,265.58,600
Worry,301.33,621
Race,410.05,215
Four,480.54,547
First,316.72,282
Action,64.2,926
Talk,127.55,518
Later,283.06,350
Record,8.84,213
Yet,89.26,692
Turn,142.14,547
Beautiful,38.89,731
Industry,85.4,311
Room,317.72,863
Gas,314.99,737
Green,100.45,168
Its,92.32,106
Military,264.01,495
Rich,453.59,336
Time,397.86,901
Forget,287.86,949
Kid,83.02,14
Learn,13.2,375
Suffer,360.02,362
Fly,429.86,394
Bed,296.52,152
Sit,128.4,919
View,392.32,788
Capital,496.48,411
Interest,207.18,790
Third,7.97,21
Forget,360.5,241
Activity,103.32,242
Owner,297.7,432
Off,194.32,438
Which,160.72,312
Result,108.77,530
Southern,444.36,144
Account,273.64,747
Reveal,67.64,300
Instead,435.39,23
Water,448.19,913
Ok,337.19,854
Foreign,127.25,365
Radio,161.95,379
Floor,193.33,468
Total,93.93,125
Design,70.62,643
Measure,444.51,688
Learn,133.79,240
Current,441.48,684
Guess,218.57,341
Nothing,419.22,634
Point,486.41,142
Young,495.08,402
Send,66.87,611
Up,190.33,721
Type,464.66,64
College,198.54,59
Commercial,117.48,165
Put,165.24,28
Food,167.49,406
Especially,343.76,137
Her,52.83,225
Rule,483.51,927
Analysis,472.52,135
Follow,376.84,421
In,470.03,175
Itself,435.76,645
Account,213.93,842
End,351.47,536
Politics,288.95,816
Recently,188.42,511
Budget,15.95,893
Bit,52.4,671
Citizen,174.71,41
Once,212.95,146
Of,184.21,50
Ever,439.49,140
Meeting,474.43,837
Allow,288.45,199
Increase,289.8,337
Laugh,267.92,445
Least,332.19,28
Local,322.92,10
Power,198.0,103
Continue,352.5,84
Off,202.98,918
Sign,193.48,822
Thing,5.34,642
Skin,132.92,333
Moment,383.15,521
Relationship,167.06,133
Small,416.41,52
Star,357.65,797
Stop,486.17,544
Player,86.6,876
Fast,375.14,115
Crime,132.46,806
High,130.58,17
Magazine,163.19,557
Debate,195.28,770
World,16.33,124
Instead,269.17,73
Beyond,205.14,313
Tell,427.59,402
Right,14.16,477
Student,36.23,289
Among,206.27,772
Student,437.89,680
Partner,56.47,350
Speak,288.29,691
